title,장수,repetition_ratio,기본점수,cliche_score,keywords
대왕은죽기를거부했다,2,0.85,67.2,84.2,목숨 요구 대왕 억지 희생 지속 통치 권력자 순번 무시 쇠약 죽음 의미 충성 국민 경제 공장 대신 고령 혼란 음식점 늘어나다 절망 결심 의지 왕비 슬픔 책임감 왕자 변화 거부 나라 구하다 백성
오장군의_발톱,4,0.875,66.08,83.58,평화 농촌 전쟁 죽음 대하다 불안 가족 주변 혼란 가난 소작농 외아들 감정 느끼다 관계 위협 이등병 행진 실수 전통 의무 떠올리다 결심 군대 훈련장 변화 장교 사격 겪다 훈련 침투 군사 능력 제외 야간 충격 심리 지뢰 폭발 개인 고향 생사 갈등 아들 편지 희망 나누다 병사 험난 집배원 징집 사라지다 어머니 당국 착오 인정 운명 알리 동일 공격 임박 전투력 과소평가 방어 두려움 역정보 일선 이동 거짓 정보 태세 위장 병력 체포 최대 취약 지역 전선 임무
홍당무,10,0.96,63.39,82.58,집안 변화 긴장감 아버지 사냥 동행 부재 낮잠 집주인 이러다 상황 가족 기다리다 일상 노동 관계 내부 갈등 불안 나누다 생활 역할 책임 형성 주인공 특별 구성원 성향 신뢰 협력 이름 이야기 식사 예절 내일 엄격 태도 성격 감돌다 어머니 대화 문제 많다 까칠 애정 이해 소송 상대방 가축 유지 견디다 용기 증명 결심 두려움 사이 환경 적응 무산 긴장 조성 보이다 계획 취소 행동 옷차림 곡괭이 들다 예의 수행 장면
가스펠,7,0.929,64.0,82.57,예수 세례 성령 베풀다 신앙 중요 신성 존재 무한 하나님 따르다 철학 탐구 펼치다 인간 영혼 외형 혈통 의존 무대 철망 구원 요청 율법 용서 형제 인물 겸손 기도 분노 갈등 대응 폭력 태도 성내 행위 심판 비유 가르침 탕감 사랑 사람 관계 사마리아 전하다 하늘 죽음 이후 발견 자비 지옥 고통 제사장 외다 도망 치료 부자 보다 드러내다 도덕 교훈 근본 허망 과정 통하다 나라 구하다 씨앗 마음 성장 결점 돌아보다 타인 고백 아버지 아들 회복 따뜻 돌아오다 나누다 구하라 메시지 세상 소금
관객모독,3,0.933,62.97,81.64,전후 독일 문학 사실 반영 비판 언어 연극 현실 예술 표현 젊다 작가 철학 기반 고전 작품 세계 구축 확립 배우 규칙 동시 탐구 독창 명성 변증법 구조 관객 긴장감 혼돈 운율 무대 경계 시작 익숙 소음 의도 몰입 유도 의미 부정 자체 체험 과거 미래 사라지다 자의식 통합 전통 가상 시간 설정 역할 벗어나다 자유 공동체 일정 질서 행동 집중
윌리엄인지-마지막_포옹,4,0.95,62.37,81.37,죄수 과거 농장 긴장감 고조 감옥 현실 죽음 목사 영혼 평안 의미 희망 갈등 빚다 소리 경험 마지막 만찬 살다 비판 사형 받아들이다 모습 세상 기형 주장 아버지 행방불명 냉소 비관 시각 자수 모범 인간 사회 이력 드러나다 가족 소통 부재 모순 법률 체계 믿음 마음 거부 신앙 받다 종교 영생 평화 대하다 두려움 사랑 절망 혐오 혼란 고백 심화 생계 자립 앞두다 죄책감 벗어나다 주인공 불화 드러내다 대화 면회 가족사 공포 부정행위 둘러싸다 아내
꼴찌를_사랑해요-공동창작,7,0.943,62.3,81.16,학생 마찰 혼란 교실 교사 나타나다 전통 예술 고등학교 입학식 희망차다 학교생활 유교 관습 비판 긴장 갈등 암묵 대립 형성 기존 권위주의 소통 방식 교장 창조 방법 제안 학교 생활 방송국 공부 충실 다짐 분위기 조성 정하다 배경 특기 경쟁 긴장감 고조 여학생 자리 떠나다 일부 담배 사이 장난 청소년 오리엔테이션 관심 가수 소방차 문제 교무실 무용 토론 벌어지다 불안 장소 이동 과정 학과 난투극 싸움 신입 흡연 폭력 심 기강 자율 교무 회의 징계 방침 논의 음주 행동 신발 바꿔치기 사건 어지럼증 감돌다 진단 증상 정밀 검사 막히다 주장 숨다 미묘 감정 느끼다 병원 방문 거부
광인들의_축제,9,0.944,62.21,81.1,어려움 겪다 동굴 공존 생존 희망 절망 야망 드러내다 전쟁 열악 환경 독재 계획 장기 미래 식량 부족 무대 협회 회장 신세계 정신병원 정신 병원 환자 통제 주인공 불안 대화 긴장 의심 불러일으키다 피난 과거 갈등 암시 상황 결정 피로 관심 집단 폭력 공포 혼란 심화 증폭 고조 권위 상술 사이 감독관 격화 공격 벗어나다 사람 우려 안전 요구 촛불 긴장감 한편 찔리다 사다 의식 도움 요청 역할 수행 모순 아기 별빛 관리자 피난민 포위 강압 탈출 문제 침략자 위협 심판 모욕 악극단 외부 세우다
정의의_사람들_알베르트_까뮈,9,0.911,62.87,81.09,분석 혁명 세력 대공 암살 극장 주변 지형 위치 계획 수립 신호 체계 마련 조직 거짓말 변장 과정 긴장감 규율 유지 수집 활동 인물 갈등 소외감 경험 신념 사회 건설 모순 동료 테러 참여 책임감 독특 성향 살인 수단 조직원 폭탄 증오심 임무 직전 준비 긴장 고귀 실현 결의 복잡 감정 느끼다 나타나다 정보 죽음 기다리다 어린아이 향하다 투척 체포 작전 좌절 사이 희생 두려움 죄책감 살해 결정 목표 충돌 발생 혁명가 재판 감옥 윤리 문제 테러리스트 깊다 부끄러움 공포 한계 책임 무게 고백 현장 역할 기여 제외 이틀 실패
나는_누구냐,9,0.956,61.93,81.04,고백 아버지 죽다 영정 모시다 전통 김창숙 어리다 강하다 성격 생활 어머니 엄격 예법 대하 가족 관계 회상 이러다 경험 인격 갈등 체포 청년 절망 향하다 일본 순사 분노 저항 결심 기존 위기 선비 젊다 선택 상투 학문 태도 신발 반항 유림 지도자 독립운동 망설이다 기미 독립 급변 민족 대표 시위 교육 사업 참여 사이 분열 의견 병환 충격 자책 명단 제외 상해 운동가 부당 간섭 비판 동료 사망 비극 파리 평화 회의 나라 위하다 헌신 고난 두려움 극복 장서 번역 우편 계획 차질 조선 망명 중국 혁명가 손문 밀정 의심 고향 방문 학생 열악 의원 활동 모친 투쟁 위험 사살 사건 환경 개선 슬픔 공인 책임
조광화_미친_키스,2,0.8,65.03,81.03,실망 겪다 여성 배신 심리 고통 절망 혐오 기력 친구 연인 좌절 진심 신뢰 시신 주변 인물 열정 의심 사설 탐정 결혼 사이 감정 대립 사랑 표현 실험 과거 욕정 정열 구분 심화 육체 관계 소통 대체물 접촉 짝사랑 동생 집착 폭력 회복 모색 한편
오장군의_발톱,4,0.925,62.41,80.91,전쟁 죽음 공포 이별 징집 영장 사고뭉치 불리 비극 경험 겪다 동화 걱정 감자 가난 소작농 태양 나무 가족 과장 표정 복장 침투 훈련 참가자 무단 이탈 야간 부상 정신 혼란 장교 이등병 낮다 극심 움직이다 간호 반복 폭발 기관총 사격 전진 고통 상징 절망 느끼다 한편 아들 편지 긴장감 고조 청년 사이 장면 교차 확인 늦다 어머니 사령부 공격 방향 병사 두려움 분석 방어 전략 전투력 심각 과소평가 임무 투입 포로 논의 고립 역정보 사령관 후퇴 거부 잡히다 거짓 정보
가마소테누룽지,9,0.944,61.98,80.87,거실 다락방 하숙집 생활 구조 공동생활 배경 복잡 인간 관계 형성 직업 가지 공간 종사자 배우 지망 연령 변화 대학 다양 식당 부엌 연기력 태도 여인 예수 그리스도 소망 연극 애절 부활 고군분투 직장 갈등 지속 표출 경제 어려움 잊다 식사 시간 규율 노인 청년 이상주의 긴장 사람 사이 편지 사회 약자 현실 고민 가정 환경 과거 사업가 범죄 전력 빈정거리다 드러나다 미묘 냄새 문제 타다 음악 일상 소소하다 즐거움 대화 시작 아침 상대방 이해 화장품 간호원 스트레스 당황 걱정 응원 중요 오디션 참여 분위기 주변 생각 차이 드러내다 출산 바꾸다 거짓말 성공 실패 파티
게오르그뷔히너-단톤의죽음,4,0.9,62.84,80.84,반란 발생 혁명재판소 혁명 지도자 귀족 이어지다 폭력 처형 프랑스 공안위원회 반대 반대파 왕당파 음모 체포 정당 성직자 개인 갈등 인간관계 잔혹 한계 사회 심화 정치 독재 강화 표출 분노 민중 강력 처벌 요구 가난 시민 생계 국민 권리 회복 세력 색출 느리다 과정 희생 고립 급진 주의자 저항 급진파 자비 권력 투쟁 비참 입장 차이 고립감 느끼다 자유 무력감 재판 과거 위기 평등 적용 의회 위원
nabal,9,0.944,61.61,80.5,변덕 의견 변화 물건 바꾸다 시도 음악 자부심 고조 이후 판매 인하 혼란 갈등 노력 촉구 긴장 사람 생계 가짜 밀수 이동식 좌판 지속 가능 위협 사업 가정 문제 금괴 찾아내다 위험 상황 놓다 집안 몰두 사이 부모 경제 어려움 전환 과거 임무 부여 조직 졸업 침투 계획 발생 인원 작전 장애물 직면 긴장감 퇴각 방안 마련 성공 의중 이념 해석 차이 시간 이용 변전소 확인 사진 촬영 어둠 가족 아프다 아픔 할머니 비밀 대화 처치 구조 무속 신앙 정전 모색 위기 지하실 전기 복구 논의 구출 둘러싸다 대립 외부 배신 불신 부상자 생존 실패 내부 간부 파업
밑바닥에서,12,0.95,61.49,80.49,고통 갈등 드러내다 긴장감 감정 충돌 주변 인물 말다툼 지하실 깊다 안정 과거 평화 고민 복합 알코올 중독 진단 신체 건강 행동 책임 회피 원인 결과 청소 천재 강조 어려움 인간관계 주인공 인간 언어 빈곤 시달리다 불안 존재 도둑 교육 회의감 고백 기력 믿음 현실 도덕 문제 노동자 열악 절망 심화 기존 관계 복잡 부패 태도 의미 절감 얽히다 죽음 명예 양심 타인 대하다 반항 사회 귀족 몰락 사이 악화 주인 쓸모 없다 자괴감 영광 본성 자유 추구 지위 증명서
막스프리쉬-만리장성,10,0.96,61.22,80.42,시대 문화 교차 혼재 변화 일어나다 인간 본성 사회 다르다 배경 과거 현실 성찰 이끌다 복잡 과정 등장인물 권력 갈등 현대인 뒤섞이다 무대 세계 전환 혼란 몽고족 침략 황제 반역자 나폴레옹 전쟁 민심 불신 반감 위험 민주주의 필요 현대 기능 상실 부자 민중 목소리 놓다 농부 사람 갈망 왕자 생존 구혼 공주 아버지 엄격 통치 민구 체포 젊다 감정 운명 정책 반발 확인 명령 미래 물리학 우주 붕괴 사이 나이 차이 주인공 고립 상대 과학 관점 인물 시간 공간 설명 불안 자극 법칙 의존 역사 폭력 심화 대화 지속 절망 대신 처벌 사랑 고백 방식 공자 가르침 도착 넘다 시도 반복
사자와의경주,10,0.96,61.17,80.37,통화 현실 과거 목소리 생생 학생 나누다 대화 죽음 철학과 깊다 감정 경계 기억 상실 전화벨 사이 부부 교수 죽다 철학 병원 응급실 아내 간호 살다 교차 메모 사람 의미 심장 반응 분석 이야기 신문 사후 심장병 희생 갈등 심화 피해자 계단 주민 추락 허상 드러나다 아파트 상징 이용 주변 특권 목숨 바다 투신 자살 남편 영원 사랑 재산 대신 주장 해석 청구 소송 관련 전자 기기 반복 철학자 인간 심리 탐구 얽히다 진실 웃음 오해 겪다 의학 관계 사회 인식 언론 보도
베르나르다_알바의_집-가르시아_로르가,7,0.914,61.96,80.25,사망 장례식 친척 사이 냉담 고인 아내 사람 억압 갈등 집안 가장 독재 분위기 떠나다 가족 단절 절망 무력감 처지 한탄 여성 질책 폭력 당하다 마을 질투 사회 체면 권위 규율 강화 정신 쇠퇴 노파 마리아 단호 태도 압박 명랑 활기차다 불신 피로감 심리 갈망 기억 남성 밤중 의심 연주 교류 청년 아코디언 과거 농부 사진 사라지다 사건 본격 분노 폭발 어머니 숨기다 이유 긴장 고조 훔치다 다스리다 문제 마르티 심각 충돌 사생활 둘러싸다 결혼 경쟁 악화 대립 벌어지다
춤추는_인형들_그_아픔_끝에_매달린_우리들의_신화-엄한얼,1,0.8,64.22,80.22,민중 고통 비통 비극 일으키다 인간 패잔병 포위망 피로 마을 숨어들다 여인 환상 전쟁 강제 제압 폭행 갇히다 죽다 적군 접근 동료 극심 식량
라신느-페드라,2,0.85,63.1,80.1,왕자 관심 사이 생존 왕비 과거 적대감 분노 추방 반역자 혈통 공주 금지 고백 비극 마감 절망 자살 시도 고통 죽음 배신 왕위 계승 다툼 죄책감 사랑 권력 왕국 미래 걱정 가족 여인 극심 학대 갈등 성공
산불,22,0.968,60.71,80.07,거칠다 자연 환경 마을 지형 구조 깊다 산골 촌락 낡다 허름 주변 소백산맥 거치다 자연환경 일상 갈등 이듬해 겨울 부족 문제 일부 주민 충분 감자 곡식 부녀자 식량 공출 모으다 과정 심화 동네 저녁 공동체 불신 분열 사람 자위대 서두르다 기력 악화 과거 반동 감정 격화 세상 변화 절감 수확 사건 희생 가족사 남성 인구 감소 긴장 회상 슬픔 혼란 억울 집안 우울 불안 까마귀 죽다 마련 집합 기억 안전 대장 책임 전가 야간 근무 부담 명예 지키다 수탈 억압 절망 가운데 지속 위태 경고 위하다 단결 촉구
밑바닥에서,12,0.958,60.88,80.05,고통 갈등 공유 다툼 복잡 인간 관계 긴장 상처 감정 지하실 열악 공간 생활 과거 심리 기력 등장인물 역할 분담 책임 문제 인물 알코올 중독 부정 관심 태도 누적 긴장감 주변 걱정 건강 악화 죄책감 인간관계 표현 의미 회의감 중독자 시달리다 일상 생존 천재 교육 한계 아내 경제 어려움 도둑 의혹 시계 노동자 환경 정신 회피 변화 가치 무용 용기 절망 절감 명예 충돌 불행 고조 남작 귀족 눈물 경찰 평등 나그네 집안 처녀 발견 권위 대하다 부엌 읽다 떠나다 결심
국물있사옵니다,7,0.943,61.18,80.04,외로움 해소 교회 주인공 여자 교류 권위 직원 종교 아파트 여성 어색 심리 갈등 심화 사장 우연 인연 열정 사랑 이야기 관련 해고 없다 고통 피해 고립감 스트레스 혼자 생활 괴롭힘 시달리다 옆방 정체 불명 반복 관리인 사회 직장 어려움 남성 결혼 관계 발전 좌절 느끼다 가족 긴장감 수입 부족 방문 이웃 영화 관람 고민 드러나다 의심 행동 인물 체념 억울 의견 충돌 나이 형성 아버지 젊다 권투 선수 수상자 신체 사이즈 유니버스 적절 이사 배신 도움 발생 위기 끝나다 선물 내역 긴장 금전 손실 절망 승진 성공 행복 일상 시작
토말아리랑,11,0.955,60.94,80.04,악화 확실 마을 환경 주민 생활 어려움 낙지 어획량 감소 사람 생존 파괴 생계 위기 직면 미래 문제 심각 무력감 절망 갈등 심화 어민 위협 농사 시절 회상 심리 겪다 어업 부족 경제 가족 영혼 과거 도시 사이 괴리 기대 기대다 바다 잃다 인상 농촌 공동체 존립 정책 실제 증폭 노동자 전환 토지 매매 부동산 가치 상승 활발 읍내 갑부 관심 보이 변화 계획 논의 쇠퇴 붕괴 현실 주요 매립 공사 소리 황폐 떠나다 준비 산밭 충돌 한편 고기
택시드리벌2000,5,0.92,61.62,80.02,택시 기사 좌절 운전 복잡 감정 시달리다 첫사랑 여성 갈등 핸드백 로맨스 기대 사이 주인 재회 사회 쓸모 없다 면허 취득 자금 마련 가족 과거 사랑 타다 폭력 인생 고통 욕설 위협 긴장 위압 운전자 고립 공포 경험 혼돈 도시 남성 오열 대화 일상 미래 상처 반영 심리 심화 상실 이어지다 꿈속 어리다 시절 마을 지역 저수지 발견 비극 정치 현실 개인 교차 아이 임신 주인공 기억 극복 이러다 시작 결심 관계 깊다 핸드폰 담배 행복 여성상 상징 긍정 변화 모색 남자 환상 카드 비난 분노 가방 화장품 혼란 사진 애정 절약 전화
다리에서_본_풍경-아서밀러,12,0.95,60.96,79.96,주요 무대 관객 보이다 집중 공간 배경 층층 다리 사무실 자리 부엌 있다 최소한 가구 소품 효과 조성 연민 가지 노동자 갈등 관계 형성 책임감 무력감 느끼다 가난 가족 충고 사람 집안 긴장감 감돌다 변호사 현실 세대 가치관 차이 지역 사회 과정 가정 긴장 청년 독립 성숙 대하다 인식 신뢰 문제 구성원 보호 의무 취업 욕구 보이 해결 방향 시기 기다리다 누설 과거 이민자 합류 정체 숨기다 어려움 폭력 냉대 노동 계획 변화 경계 정보 겪다 수입 생존 사이 고뇌 세우다 현지 일자리 책임 머물다 장기간 이국 문화 도움 자동차 없다
베네킨트_사춘기,4,0.875,62.44,79.94,심리 영향 교육 사회 수치심 청소년기 혼란 갈등 드러나다 불안 충돌 논의 가족 공부 시험 종교 대하다 회의감 친구 생식 주인공 학업 인생 대부분 돌아가다 부모 관계 깊다 이해 가정 상처 개인 고뇌 복합 가치관 다르다 기대 억압 성별 정체 학생 성적 문제 위기 겪다 교무실 자진 자살 발언 교회 위선 회의 가난 학대 소녀 변화 학교 떠나다 빚다 구원 죽음 경계 고통 죄책감 절망 사로잡히다 한계 묘지 사이 헤매다 인정 평화 받다 살다 회복
난_영화배우가_되야해,11,0.955,60.83,79.92,젊다 여성 아버지 사람 다르다 할리우드 공감대 형성 배우 겪다 어려움 친구 대화 방문자 생활 방식 환경 차이 느끼다 경험 통하다 가족 관계 정리 혼란 할머니 죽다 무덤 살다 불안 외로움 극복 주인공 단절 기억 장학금 이사 가능 가족사 감정 친척 방문 폭로 갈등 긴장감 고조 과거 상처 심화 성향 예술 동안 회복 추억 드러나다 나다 짧다 체류 기간 인정 개선 실마리 나누다 마련 공유 죄책감 사진 보다 존중 분위기 열망 격려 조언
원술랑,12,0.958,60.75,79.91,반란 발생 당나라 세력 개입 긴장 김유신 장군 주변 군사 말갈 국토 통일 훼손 국경 백제 최후 순간 싸우다 가능 경계 강화 탄압 유학 배신 지도자 신중 대응 실망 분노 표출 몰살 마을 불타다 영토 요구 기습 공격 불가피 절다 세대 여성 경험 전쟁 장수 전사 참혹 휩싸이다 희생 도령 절망 백수 전투 나라 승리 군대 포위 주요 기도 이상 징조 비난 사랑 마음 용기 물러나다 목숨 참여 의지 생존 자책 주인공 두려움 가족 동지 명예 갈등 기적 자살 시도 원수 갚다 분위기 급변 노인 인하 희망 다지 겨울 두려워하다 빚다 사람 시간 고생 나무 미래 변화 기다리다 상대방 비용 문제
오필리어,7,0.929,61.29,79.86,수도승 오필리어 레어티즈 노래 슬프다 권력자 위험 경고 밝히다 인물 불안 강하 의지 후견인 되다 결심 퍼지 사람 마음 긴장감 조성 움직이다 죽음 주인공 선왕 유령 혼령 복수 도움 감정 표현 새벽닭 울음 지옥 명상 내다 분노 고통 남다 혼란 두려움 정의 사이 갈등 신중 행동 노력 부패 나라 귀신 저주 이용 아들 경쟁자 충돌 이해 복잡 가족 관계 독살 왕비 결탁 장면 목격 햄릿 복수심 확인 음모 아버지 죽다 불타 반복 비극 진실 사랑 살인자 원수 고백 해결 폭로 남성 대립 변화
밤으로의_긴_여로.유진_오닐hwp,22,0.977,60.31,79.86,가족 관계 전환점 갈등 변화 일어나다 마련 긴장 불화 심화 대화 결정 내려지다 여름 과거 사건 숨기다 아침 식사 친밀 평화 철학 서적 세밀 기색 보다 남편 단정 실용 태도 평범 농부 구조 다양 출신 대비 사람 불안 문제 재산 부부 건강 체중 증가 시각 고민 걱정 나이 들다 대하다 부동산 관리 자신감 드러내다 식당 투자 성공 사례 악화 고조 세대 나누다 아버지 민감 반응 아들 웃음 소리 차이 표출 기침 식욕 부진 아내 사회주의 무정부주의 가난 소작인 부유 크다 토지 분쟁 이념 충돌 강경 맞서다 승리 말라리아 돼지 석유
시련-아서밀러,10,0.96,60.66,79.86,마술 관련 소문 의심 소녀 아버지 마을 사람 불신 사이 진실 공방 원인 자연 설명 불경 추악 행위 주인공 위치 위태 악령 영향 의견 여자 불덩이 긴장 극대 개인 고립 공포 확산 목격담 퍼지다 나쁘다 해고 사회 나무 뛰어다니다 다툼 겹치다 주민 설교 갈등 고통 겪다 분열 악마 복잡 감정 과거 억울 추방 관계 단절 징후 사랑 여성 마녀 혐의 증인 재판 부족 영향력 사냥 의혹 신앙 문제 처형 위기 체포 가족 심리 과정 복수심 죄책감 검찰 폭력 심화 부인 무죄 권위 대립 절망 분위기 조성 교회 공간 혁명 변화
구슬하나-이중기,6,0.95,60.83,79.83,긴장 가족 이해 아버지 편협 사고방식 갈등 겪다 집안 대학 진학 자녀 입장 차이 구성원 정신 어렵다 미래 소통 어려움 공부 취업 문제 겹치다 긴장감 상황 복잡 독립 결정 내리다 자식 현실 의견 충돌 군대 지원 고민 가정 방문 장례 동생 고조 혼란 떠올리다 인간관계 사업 위기 사람 호감 학업 과거 형제자매 인하 신입 직원 취직 부모 부재 편애 실패 좌절 전문대 깊다 둘러싸다 인식 선택 단절 바쁘다 감정 격하 신체 가운데 할머니 노망 친구 보호 공장
그래도우리는_볍씨를_뿌린다-박범신,7,0.914,61.52,79.81,마을 인민재판 복수 극심하다 대립 비극 민족사 폐허 사람 협박 가족 파괴 아이 전쟁 아들 죄책감 소식 상처 극복 경고 공격 공포 갈등 산짐승 노파 기침 악화 불안 조성 불러일으키다 폭탄 식량난 내부 혼란 농촌 평화 며느리 위기 일상 폭력 사태 건강 읍내 구하다 경험 가지다 노인 피난 무릎 꿇다 부러지다 다리 심화 인민군 냉대 군사 수색 긴장감 과거 회복 굶주림 죽음 칭찬 변화 불운 남편 혼령 시댁 외로움 고통 비판 총격 집안 겨울 깊다 시어머니
산불,22,0.977,60.21,79.76,초가집 중심 농촌 촌락 낡다 소백산맥 공동체 갈등 지붕 변화 반영 이야기 전쟁 가난 자연 환경 겨울 이듬해 가족 구성원 생존 여성 분노 발생 내동댕이치다 사건 마을 부녀자 식량 극심 빈곤 추위 부족 상황 공출 위하다 곡식 사이 저녁 산골 격화 불신 분열 심화 일부 주민 인식 감정 대립 인구 부재 현실 어려움 문제 가족사 수확 과거 상처 두려움 허리 사람 먹다 참혹 광경 목격 군중 통제 그러다 공비 긴장 억울 죽다 젊은이 점검 집합 명령 불만 강경 야간 경비 강화 자위대 공동 투쟁 반발 정부 책임 전가 요구 거부 촉구
닐_사이먼_사랑을_주세요,21,0.976,60.22,79.75,가족 복잡 상처 할머니 성격 갈등 문제 연결 동생 고모 긍정 방문 알리 정신 엄격 폭력 과거 여름 긴장 두려움 영향 염려 심리 아이 압박 건강 태도 질환 미치다 숨소리 섞이다 말투 주의 혼란 슬픔 긴장감 감돌다 관계 회복 저녁 식사 배려 조심 가운데 깡패 계단 들리다 발자국 아이스크림 장례식 가족사 얽히다 감정 구성원 죽음 외로움 깊다 비롯 부모 소통 단절 남기다 상실감 벨라 불편 고백 중요 대화 유대 시도 목욕탕
다섯_가지_동일한_시선,5,0.92,61.33,79.73,인생 어려움 욕심 갈등 경험 계단 오르다 인식 엘리베이터 잃다 출입 통제 평범 행복 선택 아파트 현관 미래 여행 걸음 뒷걸음 반복 인물 혼란 책임감 조언 전하다 주식 가족 지치 결혼 생활 직장 시장 동향 대학 동기 과거 돌아가다 시간 옥상 고립감 느끼다 실패 원인 부정 실망 사랑 되다 경제 처하다 다툼 난투극 주인공 자식 관련 확실 주장 인격 희망 다수결 파일 두려워하다 붙다 가능 보존 발생 장면 변하다 환상 투자 사용 청년 실수 인하 흐름 운명 대하 철학 마지막 변화 인간 불안감 밤중 의료 마취 장비
타오르는_어둠속에서-안토니오_부에르_바예호,10,0.95,60.72,79.72,학교 흡연실 학생 시각 의심 조롱 젊다 가지 자신감 잃다 숨다 장애 유명인 이야기 나누다 늦다 침착 장애인 다양 감각 칭찬 사이 긍정 청각 방향 놀이 회복 교장 적응 아버지 생활 주변 격려 경험 교육 기관 대하다 편견 결혼 사회 직업 어려움 겪다 변화 지팡이 긴장 공부 가운데 태어나다 관계 현실 지도 아래 개선 우정 사랑 소외감 느끼다 인물 전쟁 고통 갈등 시작 상황 평화 희망 분노 깊다 강하 의지 예견 미래 떠나다
토막,5,0.92,61.31,79.71,가난 노인 가족 상호 지지 구성원 고통 경제 어려움 환경 불구 살다 관계 회복 가능 갈등 노력 싹트다 변화 모색 혼란 절망 집안 긴장감 일본 떠나다 토막 아내 재산 압류 사람 책임 태도 사진 확인 울음 사라지다 가운데 아버지 심리 가정 시간 지나다 기다리다 유일 생계 수단 고난 절망감 창피 위기 집행 부재 병환 벗어나다 갈망 두렵다 충격 오빠 종신 징역 깊다 슬픔 고조 이후 정리 희망 불안 죽음 동안 이웃
천하대장군_지하여장군,9,0.944,60.8,79.69,죽음 선택 남성 인간 사랑 이유 재회 목숨 존재 근본 고뇌 의미 희망 마을 앞산 언덕 고통 비판 학생 운동 갈등 탄압 회장 고문 권력 반란 진압 참혹 혐의 체포 군사 정권 대학 순수 공산주의 연루 사회 낙인 불행 살다 약속 어렵다 열악 생활 외로움 상처 이해 상징 임신 가족 부유 초월 강력 마당 목욕 고단 결혼 되새기다 결혼식 믿음 바탕 시련 불안 느끼다 행복 순간 결심 내다 과거 가정 현실 가난 정책 변경 고등학교 문제 불거지다 교육 교사 배정 과정 혼란 반복 무력 슬픔 효율 운영 장기 계획 바꾸다
다리에서_본_풍경-아서밀러,12,0.967,60.33,79.67,세트 가구 중심 구성 공간 마련 책상 무대 한쪽 사무실 부엌 침실 의자 배치 최소한 층층 다리 시각 융통 전화기 설치 법률 가난 설명 과거 폭력 가치관 충돌 사회 역사 해결 시련 갈등 뿌리 걱정 드러나다 지역 노동자 일상 여성 짧다 가족 관계 긴장 심화 확실 청년 취업 문제 표출 이러다 불안 행동 태도 노동 환경 성숙 기다리다 미래 이민자 필라델피아 이민국 감시 체포 경험 고통 거짓말 하다 일자리 사촌 합류 변화 시작 겨울철 부업 수입 문화 쌓다 공동체 경제 자립 위하다 신뢰 열악 생활 고향 돌아가다 부양 희망 안정 음악 통하다 소통
